role,skills
AI Engineer,"Programming Skills(Python, R, C++, Java)"
AI Engineer,"AI Frameworks(TensorFlow, PyTorch, Keras)"
AI Engineer,"Data Manipulation and Analysis(Pandas, NumPy, SQL)"
AI Engineer,"Mathematics and Statistics(Linear Algebra, Calculus, Probability, Statistics)"
AI Engineer,"NLP and CV(NLTK, SpaCy, OpenCV)"
AI Engineer,"Cloud Platforms(AWS, Azure, Google Cloud)"
AI Engineer,"Model Deployment(Docker, Kubernetes, Flask, FastAPI)"
AI Engineer,"Soft Skills(Problem-Solving, Team Collaboration, Communication)"
ML Engineer,"Programming Skills(Python, R, C++, Java)"
ML Engineer,"Machine Learning Frameworks(TensorFlow, PyTorch, Scikit-learn)"
ML Engineer,"Data Manipulation and Analysis(Pandas, NumPy, SQL)"
ML Engineer,"Mathematics and Statistics(Linear Algebra, Calculus, Probability, Statistics)"
ML Engineer,Algorithms and Data Structures(Common algorithms and optimization techniques)
ML Engineer,"Big Data Tools(Hadoop, Spark, Apache Kafka)"
ML Engineer,"Cloud Platforms(AWS, Azure, Google Cloud)"
ML Engineer,"Version Control(Git, GitHub, GitLab)"
ML Engineer,"Soft Skills(Problem-Solving, Team Collaboration, Communication)"
Software Developer,"Programming Skills(Python, Java, C#, JavaScript)"
Software Developer,"Web Development(HTML, CSS, React, Angular)"
Software Developer,"Database Management(SQL, MongoDB, PostgreSQL)"
Software Developer,"Version Control(Git, GitHub, GitLab)"
Software Developer,"Software Development Life Cycle(Agile, Scrum, Waterfall)"
Software Developer,"Testing(Unit Testing, Integration Testing, Automation Tools)"
Software Developer,"Soft Skills(Problem-Solving, Team Collaboration, Communication)"
